Time,Channel A
(ms),(A)

0.00000000,-0.01910459
0.04096000,-0.04663229
0.08192000,-0.05581836
0.12288000,-0.04663229
0.16384000,-0.01910459
0.20480000,-0.02829066
0.24576000,-0.00073244
0.28672000,-0.03747673
0.32768000,-0.01910459
0.36864000,-0.01910459
0.40960000,-0.01910459
0.45056000,-0.02829066
0.49152000,-0.01910459
0.53248000,-0.00073244
0.57344000,-0.00991852
0.61440000,-0.01910459
0.65536000,-0.01910459
0.69632000,-0.00991852
0.73728000,-0.01910459
0.77824000,-0.01910459
0.81920000,-0.00991852
0.86015999,-0.01910459
0.90111999,-0.01910459
0.94207999,-0.00073244
0.98303999,0.00845363
1.02399999,-0.01910459
1.06495999,0.00845363
1.10591999,0.01763970
1.14687999,0.00845363
1.18783999,0.01763970
1.22879999,0.03595081
1.26975999,0.00845363
1.31071999,-0.01910459
1.35167999,-0.00073244
1.39263999,0.01763970
1.43359999,0.00845363
1.47455999,-0.02829066
1.51551999,0.03595081
1.55647999,0.01763970
1.59743999,0.01763970
1.63839999,0.05432295
1.67935999,0.01763970
1.72031999,0.03595081
1.76127999,0.03595081
1.80223999,-0.08337657
1.84319999,0.04513688
1.88415999,0.03595081
1.92511999,0.05432295
1.96607999,0.00845363
2.00703999,-0.01910459
2.04799999,0.08188117
2.08895999,0.04513688
2.12991999,0.02679525
2.17087999,0.07269509
2.21183999,0.09106724
2.25279999,0.05432295
2.29375999,0.05432295
2.33471999,-0.01910459
2.37567999,0.04513688
2.41663999,0.09106724
2.45759999,0.11859490
2.49855998,0.08188117
2.53951998,0.06350902
2.58047998,-0.00073244
2.62143998,0.09106724
2.66239998,0.01763970
2.70335998,0.09106724
2.74431998,0.09106724
2.78527998,0.10940890
2.82623998,0.01763970
2.86719998,0.09106724
2.90815998,0.08188117
2.94911998,0.10940890
2.99007998,0.06350902
3.03103998,0.08188117
3.07199998,0.09106724
3.11295998,0.07269509
3.15391998,0.13696710
3.19487998,0.12778100
3.23583998,0.12778100
3.27679998,0.12778100
3.31775998,0.03595081
3.35871998,0.09106724
3.39967998,0.05432295
3.44063998,0.10022280
3.48159998,0.10940890
3.52255998,0.02679525
3.56351998,0.11859490
3.60447998,0.10022280
3.64543998,0.11859490
3.68639998,0.16449480
3.72735998,0.05432295
3.76831998,0.09106724
3.80927998,0.08188117
3.85023998,0.20123910
3.89119998,0.08188117
3.93215998,0.06350902
3.97311998,-0.03747673
4.01407998,-0.04663229
4.05503998,0.09106724
4.09599998,0.02679525
4.13695997,0.20123910
4.17791997,0.08188117
4.21887997,0.15533920
4.25983997,0.11859490
4.30079997,0.14615320
4.34175997,0.10940890
4.38271997,0.15533920
4.42367997,0.11859490
4.46463997,0.12778100
4.50559997,0.14615320
4.54655997,0.14615320
4.58751997,0.12778100
