Time,Channel B
(ms),(V)

0.00000000,-138.72190000
0.04096000,-134.15940000
0.08192000,-134.15940000
0.12288000,-129.61210000
0.16384000,-129.61210000
0.20480000,-129.61210000
0.24576000,-125.06480000
0.28672000,-120.50230000
0.32768000,-120.50230000
0.36864000,-115.95510000
0.40960000,-115.95510000
0.45056000,-111.40780000
0.49152000,-111.40780000
0.53248000,-106.84530000
0.57344000,-106.84530000
0.61440000,-102.29800000
0.65536000,-102.29800000
0.69632000,-93.18827000
0.73728000,-93.18827000
0.77824000,-93.18827000
0.81920000,-88.64101000
0.86015999,-88.64101000
0.90111999,-84.07849000
0.94207999,-84.07849000
0.98303999,-79.53123000
1.02399999,-74.98398000
1.06495999,-70.42146000
1.10591999,-70.42146000
1.14687999,-65.87420000
1.18783999,-65.87420000
1.22879999,-61.32695000
1.26975999,-56.76443000
1.31071999,-56.76443000
1.35167999,-56.76443000
1.39263999,-52.21717000
1.43359999,-52.21717000
1.47455999,-47.66991000
1.51551999,-43.10740000
1.55647999,-43.10740000
1.59743999,-43.10740000
1.63839999,-38.56014000
1.67935999,-38.56014000
1.72031999,-33.99762000
1.76127999,-33.99762000
1.80223999,-29.45036000
1.84319999,-29.45036000
1.88415999,-24.90310000
1.92511999,-20.34059000
1.96607999,-20.34059000
2.00703999,-15.79333000
2.04799999,-15.79333000
2.08895999,-11.24607000
2.12991999,-6.68355400
2.17087999,-6.68355400
2.21183999,-2.13629600
2.25279999,-2.13629600
2.29375999,2.41096200
2.33471999,6.97348000
2.37567999,6.97348000
2.41663999,6.97348000
2.45759999,6.97348000
2.49855998,6.97348000
2.53951998,6.97348000
2.58047998,6.97348000
2.62143998,6.97348000
2.66239998,6.97348000
2.70335998,6.97348000
2.74431998,25.16251000
2.78527998,29.72503000
2.82623998,34.27229000
2.86719998,38.81955000
2.90815998,38.81955000
2.94911998,43.38206000
2.99007998,47.92932000
3.03103998,52.47658000
3.07199998,52.47658000
3.11295998,57.03909000
3.15391998,61.58635000
3.19487998,61.58635000
3.23583998,66.13361000
3.27679998,70.69613000
3.31775998,70.69613000
3.35871998,75.24339000
3.39967998,75.24339000
3.44063998,79.80591000
3.48159998,84.35316000
3.52255998,88.90041000
3.56351998,88.90041000
3.60447998,88.90041000
3.64543998,93.46294000
3.68639998,98.01019000
3.72735998,102.55750000
3.76831998,102.55750000
3.80927998,107.12000000
3.85023998,107.12000000
3.89119998,107.12000000
3.93215998,111.66720000
3.97311998,116.21450000
4.01407998,116.21450000
4.05503998,120.77700000
4.09599998,120.77700000
4.13695997,125.32430000
4.17791997,129.87150000
4.21887997,129.87150000
4.25983997,129.87150000
4.30079997,129.87150000
4.34175997,134.43400000
4.38271997,138.98130000
4.42367997,138.98130000
4.46463997,138.98130000
4.50559997,143.54380000
4.54655997,143.54380000
4.58751997,148.09110000
4.62847997,148.09110000
4.66943997,152.63830000
4.71039997,152.63830000
4.75135997,152.63830000
4.79231997,152.63830000
4.83327997,157.20080000
4.87423997,161.74810000
4.91519997,161.74810000
4.95615997,161.74810000
4.99711997,166.29540000
5.03807997,166.29540000
